CHR,GAIN,AMPLI,LOSS,LOH
10q,0,0,0,0
11q,0,0,0,0
12q,0,0,0,0
13q,0,0,0,0
14q,0.34,0,0,0
15q,0,0,0,0
16q,0,0,0,0
17q,0,0,0,0
18q,0,0,0,0
19q,0,0,0,0
20q,0,0,0,0
21q,0,0,0,0
22q,0,0,0,0
Yq,0,0,0,0
Xq,0.67,0,0,0
1p,0,0,0,0
2p,0.63,0,0,0
3p,0.75,0,0.42,100
4p,0,0,0,0
5p,0,0,0,0
6p,0,0,0,6.04
7p,100,0,0,0
8p,99.61,0,0,0
9p,0,0,0,82.95
10p,0,0,0,0
11p,0,0,0,0
12p,0,0,0,99.63
16p,0,0,0,7.43
17p,0,0,0,0
18p,0,0,0,0
19p,0,0,0,0
20p,100,0,1.16,0
21p,0,0,85.12,0
Yp,0,0,0,0
Xp,4.3,0,0,0
1q,2.05,0,0.34,0
2q,18.76,0,5.67,0
3q,0,0,0,100
4q,0.63,0,0,0
5q,0,0,0.24,0
6q,0,0,0.37,0
7q,100,0,0,0
8q,99.53,0,0,0
9q,0,0,0,96.12
10q,0,0,0,3.18
11q,0,0,0,0
12q,0,0,0.51,0
13q,1.98,0,0,0
14q,0,0,0.37,0
15q,0,0,0,0
16q,0,0,0,0
17q,0,0,0,0
18q,0,0,0,0
19q,0,0,0,0
20q,100,0,0,0
21q,0,0,100,0
22q,1.11,0,0,10.22
Yq,0,0,0,0
Xq,0,0,0,0
1p,0,0,0,0
2p,0.63,0,0,0
3p,0.75,0,0.42,100
4p,0,0,0,0
5p,0,0,0,0
6p,0,0,0,6.04
7p,100,0,0,0
8p,99.61,0,0,0
9p,0,0,0,82.95
10p,0,0,0,0
11p,0,0,0,0
12p,0,0,0,99.63
16p,0,0,0,7.43
17p,0,0,0,0
18p,0,0,0,0
19p,0,0,0,0
20p,100,0,1.16,0
21p,0,0,85.12,0
Yp,0,0,0,0
Xp,4.3,0,0,0
1q,2.05,0,0.34,0
2q,18.76,0,5.67,0
3q,0,0,0,100
4q,0.63,0,0,0
5q,0,0,0.24,0
6q,0,0,0.37,0
7q,100,0,0,0
8q,99.53,0,0,0
9q,0,0,0,96.12
10q,0,0,0,3.18
11q,0,0,0,0
12q,0,0,0.51,0
13q,1.98,0,0,0
14q,0,0,0.37,0
15q,0,0,0,0
16q,0,0,0,0
17q,0,0,0,0
18q,0,0,0,0
19q,0,0,0,0
20q,100,0,0,0
21q,0,0,100,0
22q,1.11,0,0,10.22
Yq,0,0,0,0
Xq,0,0,0,0
1p,0,0,100,0
2p,0,0,0,0
3p,0,0,15.68,0
4p,0,0,99.89,0
5p,99.94,0,0,0
6p,0,0,100,0
7p,0,0,92.92,0
8p,0,0,18.64,0
9p,0,0,82.95,0
10p,0,0,100,0
11p,0,0,1.87,100
12p,0,0,99.7,0
16p,0,0,91.04,0
17p,0,0,100,0
18p,0,0,0,0
19p,0,0,76.42,0
20p,0,0,0,0
21p,0,0,0,0
Yp,0,0,0,0
Xp,0,0,0,0
1q,0,0,100,0
2q,0,0,0,0
3q,0,0,17.49,0
4q,0,0,99.92,0
5q,99.91,0,0,0
6q,0,0,100,0
7q,0,0,44.37,0
8q,0,0,1.11,0
9q,0,0,0.62,0
10q,0,0,100,0
11q,0,0,96.45,0
12q,0,0,100,0
13q,0,0,99.69,0
14q,0,0,98.92,0
15q,0,0,99.79,0
16q,0,0,99.2,0
17q,0,0,21.13,0
18q,0,0,1.34,0
19q,0,0,100,0
20q,5.55,0,0.91,0
21q,0,0,0,0
22q,1.67,0,0,0
Yq,32.14,0,0,0
Xq,0,0,0,0
1p,0,0,0,0
2p,0,0,0,0
3p,0,0,0,6.32
4p,0,0,0,0
5p,0,0,0,0
6p,0,0,0,0
7p,0,0,0,0
8p,19.33,0,0,0
9p,0,0,0,0
10p,0,0,0,0
11p,0,0,0,0
12p,0,0,0,0
16p,0,0,0,9.66
17p,0,0,0,0
18p,0,0,0,0
19p,0,0,0,0
20p,0,0,0,0
21p,0,0,0,0
Yp,0,0,0,0
Xp,0,0,0,0
1q,0,0,0,0
2q,0,0,0.35,0
3q,0,0,0,0
4q,0,0,0,0
5q,0,0,0.76,3.76
6q,0,0,0,0
7q,0,0,0,0
8q,0,0,0,0
9q,0,0,0,0
10q,0,0,0,0
11q,0,0,0,0
12q,0,0,0,0
13q,0,0,0,0
14q,0,0,0.42,0
15q,0,0,0,0
16q,0,0,0,0
17q,0,0,0,0
18q,0,0,0,0
19q,0,0,0,0
20q,0,0,0,0
21q,0,0,0,0
22q,0,0,0,0
Yq,0,0,0,0
Xq,0,0,0,0
1p,8.95,0,31.23,2.35
2p,0.69,0,3.66,4.12
3p,0,0,0.37,3.05
4p,8.65,0,0,0
5p,1.09,0,0,0
6p,0,0,4.57,0
7p,0,0,0,4.97
8p,0.73,0,4,6.29
9p,0,0,25.08,0
10p,51.03,0,4.17,0
11p,5.75,0,0.89,7.86
12p,98.86,0,0,0
16p,95.07,0,0,11.54
17p,0,0,31.34,0
18p,14.91,0,21.31,0
19p,0,0,0,0
20p,0,0,0,0
21p,0,0,0,0
Yp,0,0,0,0
Xp,8.94,0,0,4.77
1q,0,0,0,8.47
2q,0.49,0,4.79,1.88
3q,0,0,1.92,0
4q,0,0,0,0
5q,0,0,4.29,4.81
6q,1.02,0,12.81,0
7q,8.52,0,6.67,6.9
8q,17.82,0,0,0
9q,2.08,0,0.68,3.64
10q,0.79,0,10.93,2.85
11q,0.54,0,0.43,3.85
12q,96.22,0,0,0
13q,0,0,13,2.92
14q,0.55,0,3.19,0
15q,0,0,3.54,8.4
16q,0,0,0,0
17q,0.55,0,0,9.98
18q,0,0,8.26,0
19q,0,0,45.48,0
20q,25.21,0,12.24,0
21q,1.03,0,0,0
22q,0,0,0,0
Yq,0,0,0,0
Xq,41.25,0,0,7.1
1p,0,0,38.58,5.7
2p,1.24,0,2.06,16.9
3p,11.95,0,0,3.74
4p,8.14,0,0,0
5p,0.7,0,1.87,0
6p,0,0,6.25,9.17
7p,0.6,0,0.73,6.33
8p,48.83,0,7.64,0
9p,3.15,0,25.83,0
10p,50.79,0,4.45,0
11p,0,0,0.89,14.31
12p,2.49,0,17.32,7.41
16p,78.41,0,16.65,0
17p,0,0,28.04,0
18p,0,0,22.29,0
19p,4.75,0,55.48,0
20p,0,0,5.37,0
21p,0,0,0,0
Yp,0,0,0,0
Xp,0,0,0,0
1q,0,0,16.86,11.23
2q,0,0,3.54,7.22
3q,0.34,0,0.44,2.69
4q,0,0,3.97,2.83
5q,0.64,0,6.17,5.32
6q,0.93,0,9.94,4.2
7q,6.89,0,6.76,11.9
8q,17.93,0,0,7.02
9q,3.92,0,3.23,7.81
10q,7.53,0,16.91,0
11q,0,0,4.48,3.27
12q,7.75,0,2.21,0
13q,0.68,0,16.89,3.99
14q,6.21,0,2.7,4.8
15q,5.8,0,7.59,18.46
16q,43.17,0,6.82,0
17q,4.25,0,12.82,0
18q,3.37,0,5.08,10.15
19q,0,0,40.47,0
20q,1.11,0,13.01,0
21q,23.46,0,9.81,0
22q,0,0,10.99,0
Yq,0,0,0,0
Xq,0,0,0,0
1p,0,0,0,7.51
2p,0,0,0,4.13
3p,0,0,0,0
4p,11.03,0,0,0
5p,0.89,0,0,0
6p,0,0,4.79,8.82
7p,0,0,0,0
8p,0,0,0,0
9p,0,0,29.93,0
10p,0,0,4.13,0
11p,2.46,0,0.74,5.3
12p,1.27,0,0,0
16p,74.82,0,0,9.51
17p,0,0,0,0
18p,0,0,0,0
19p,0,0,0,0
20p,0,0,0,0
21p,0,0,0,0
Yp,0,0,0,0
Xp,4.59,0,0,0
1q,0,0,11.71,0
2q,0,0,0,4.88
3q,0,0,0,0
4q,0,0,0,0
5q,0,0,3.2,3.37
6q,0.47,0,7.37,7.28
7q,0,0,0,0
8q,17.64,0,0,2.67
9q,6.65,0,0,0
10q,0,0,0,11.6
11q,0,0,1.19,0
12q,0.62,0,0.39,0
13q,0,0,1.56,0
14q,0,0,2,0
15q,1.14,0,3.15,0
16q,0,0,0.94,0
17q,0,0,1.25,5.42
18q,0,0,0,0
19q,0,0,0,0
20q,3.99,0,0,0
21q,1.63,0,0.92,0
22q,1.77,0,9.47,0
Yq,0,0,0,0
Xq,2.59,0,0,10.06
1p,0,0,0.35,0
2p,0,0,0,0
3p,0,0,0,0
4p,0,0,0,0
5p,0,0,0,0
6p,0,0,0,7.25
7p,0,0,0,0
8p,20.1,0,0,0
9p,0,0,0,0
10p,0,0,0,0
11p,0,0,0,0
12p,99.7,0,0,0
16p,0,0,0,0
17p,0,0,0,0
18p,0,0,0,0
19p,0,0,1.85,0
20p,0,0,0,0
21p,0,0,0,0
Yp,0,0,0,0
Xp,0,0,0,0
1q,0,0,0,0
2q,0,0,0,0
3q,0,0,0,0
4q,0,0,0,0
5q,0,0,0,0
6q,0,0,0,0
7q,0,0,0,0
8q,0,0,0,2.58
9q,0,0,0,0
10q,0,0,0.44,0
11q,0,0,0,0
12q,100,0,0,0
13q,0,0,0,0
14q,0,0,0.75,0
15q,0,0,3.59,0
16q,2.6,0,0,0
17q,0,0,0,0
18q,0,0,0,0
19q,1.71,0,0,0
20q,0,0,0,0
21q,0,0,0,0
22q,0,0,0,0
Yq,2.76,0,0,0
Xq,0,0,0,0
1p,0,0,0,0
2p,0,0,0,0
3p,0,0,0,0
4p,0,0,0,0
5p,0,0,0,0
6p,0,0,3.18,0
7p,0,0,1.29,0
8p,0,0,0,0
9p,0,0,0,0
10p,0,0,0,0
11p,0,0,0,0
12p,0,0,0,0
16p,0,0,5.33,9.66
17p,0,0,8.72,0
18p,0,0,0,0
19p,0,0,0,0
20p,0,0,0,0
21p,0,0,0,0
Yp,0,0,0,0
Xp,0,0,0,0
1q,0,0,0,0
2q,0,0,0,1.96
3q,0,0,0,0
4q,0,0,0,0
5q,0,0,1.52,2.08
6q,0,0,0,0
7q,7.42,0,0,3.68
8q,0,0,0.36,0
9q,0,0,0,0
10q,0,0,4.97,0
11q,0,0,5.67,0
12q,0.54,0,0,0
13q,0,0,22.16,0
14q,0,0,0,0
15q,0,0,1.36,0
16q,0,0,1.12,0
17q,2.83,0,2.69,0
18q,0,0,0,0
19q,0,0,0,0
20q,0,0,0,0
21q,0,0,0,0
22q,0,0,0,0
Yq,0,0,0,0
Xq,0,0,0,0
1p,3.28,0,0,0
2p,18.36,0,2.63,0
3p,0,0,0,0
4p,1.83,0,1.49,0
5p,3.27,0,0,0
6p,0,0,1.76,14
7p,3.68,0,0,0
8p,0.83,0,0,0
9p,0,0,0,0
10p,0,0,6.24,0
11p,21.4,0,0,5.67
12p,1.13,0,0,0
16p,15.88,0,17.78,9.59
17p,0,0,11.03,0
18p,0,0,0,0
19p,8.68,0,47.53,0
20p,0,0,0,0
21p,0,0,0,0
Yp,0,0,0,0
Xp,0,0,0,0
1q,0.3,0,0,0
2q,3.32,0,0,0
3q,2.57,0,0,0
4q,0,0,0.34,0
5q,4.09,0,0,2.53
6q,0,0,25.28,0
7q,4.29,0,7,2.64
8q,8.65,0,0,0
9q,10.16,0,0,0
10q,10.67,0,0,0
11q,6.68,0,0,0
12q,0,0,0,0
13q,8.96,0,5.9,0
14q,6.95,0,0.52,0
15q,0,0,0,0
16q,0,0,0,0
17q,2.45,0,8.81,0
18q,5.49,0,0,0
19q,0,0,53.92,0
20q,11.98,0,0,0
21q,1.15,0,0,0
22q,10.53,0,0.91,0
Yq,0,0,0,0
Xq,0,0,0,0
1p,5.38,0,0.81,2.55
2p,0,0,0.36,0
3p,1.52,0,0.42,3.36
4p,0,0,0,10.95
5p,0,0,0,0
6p,0,0,0,0
7p,0,0,0,0
8p,0,0,0,0
9p,0,0,0,7.55
10p,0,0,42.17,0
11p,0,0,2.05,0
12p,0,0,0,0
16p,0,0,0,9.5
17p,0,0,0,0
18p,21.42,0,78.54,0
19p,0,0,4.64,0
20p,0,0,0,0
21p,0,0,0,0
Yp,0,0,0,0
Xp,0,0,0,0
1q,45.01,0,1.31,10.14
2q,0,0,0.67,0
3q,0,0,0,0
4q,0,0,0,0
5q,0,0,1.33,0
6q,0,0,0,0
7q,0,0,0,0
8q,0,0,0,5.46
9q,9.99,0,0,0
10q,0,0,1.19,5.48
11q,0,0,0,0
12q,0,0,0,0
13q,0,0,0,0
14q,0,0,0.96,0
15q,2.1,0,0,0
16q,0,0,0.82,0
17q,0,0,1.56,0
18q,99.99,0,0,0
19q,0,0,0,0
20q,0,0,0,0
21q,7.71,0,0,0
22q,17.7,0,1.39,0
Yq,0,0,0,0
Xq,80.82,0,0,0
1p,3.54,0,7.3,7.68
2p,0,0,3.43,8.91
3p,21.4,0,2.04,5.67
4p,3.44,0,0,0
5p,0,0,0,0
6p,1.17,0,3.04,0
7p,0,0,0,5.48
8p,3.84,0,3.49,0
9p,0,0,20.24,64.25
10p,0,0,19.72,0
11p,0,0,0,6.86
12p,5.64,0,9.51,0
16p,22.07,0,0,22.7
17p,0,0,69.82,0
18p,17.52,0,35.23,0
19p,4.19,0,1.91,0
20p,0,0,0,0
21p,0,0,0,0
Yp,0,0,0,0
Xp,0.61,0,0,0
1q,1.03,0,11.39,8.47
2q,1.69,0,5.83,0
3q,0.43,0,0,9.92
4q,0,0,0,2.27
5q,0.46,0,1.07,7.01
6q,0,0,2.35,2.37
7q,0,0,2.18,4.37
8q,4.17,0,0,10.22
9q,6.52,0,0,4.38
10q,0.38,0,9.33,0
11q,0,0,17.3,0
12q,8.49,0,4.97,0
13q,0,0,15.81,0
14q,0,0,1.12,3.4
15q,0.71,0,9.2,4.86
16q,0,0,0,0
17q,7.67,0,0,0
18q,1.53,0,2.84,0
19q,7.08,0,52.12,0
20q,0,0,11.23,0
21q,5.14,0,0.95,0
22q,25.82,0,10.67,0
Yq,0,0,0,0
Xq,0,0,0,0
1p,2.91,0,0,0
2p,0,0,2.96,4.55
3p,21.66,0,0.41,8.73
4p,0,0,0,0
5p,0,0,0,0
6p,0,0,0,11.07
7p,0,0,0,0
8p,0,0,0,0
9p,0,0,0,55.59
10p,1.09,0,0,0
11p,0,0,0,0
12p,8.41,0,9.63,0
16p,0,0,0,11.71
17p,0,0,0,0
18p,13.98,0,0,0
19p,0,0,0,0
20p,0,0,0,0
21p,0,0,0,0
Yp,0,0,0,0
Xp,0.61,0,0,0
1q,0,0,0,0
2q,0,0,0,0
3q,0,0,0,3.19
4q,0,0,0,0
5q,0,0,0,2.67
6q,0,0,0,0
7q,0,0,0.37,0
8q,0,0,0,2.68
9q,0,0,0,0
10q,0,0,6.22,0
11q,0.44,0,17.3,18.04
12q,0.56,0,0,0
13q,0.39,0,3.79,0
14q,0.34,0,1.34,0
15q,0,0,8.59,0
16q,0,0,0,0
17q,24.19,0,0,0
18q,15.49,0,0,0
19q,0,0,0,0
20q,0,0,0,0
21q,0,0,0,0
22q,0,0,0,0
Yq,0,0,0,0
Xq,0,0,0,0
1p,0,0,83.11,0
2p,0,0,0,0
3p,0,0,91.12,0
4p,0,0,100,0
5p,97.96,0,0,0
6p,1.86,0,0,0
7p,0,0,0,0
8p,5.13,0,0,0
9p,0,0,64.92,0
10p,0,0,100,0
11p,0,0,0,0
12p,0,0,99.7,0
16p,0,0,5.78,0
17p,0,0,0,0
18p,0,0,0,0
19p,0,0,0,0
20p,32.6,0,0,0
21p,0,0,0,0
Yp,0,0,0,0
Xp,0,0,0,0
1q,0.76,0,0.73,0
2q,0,0,0,2.53
3q,0,0,67.45,0
4q,0,0,99.92,0
5q,0,0,41.57,2.2
6q,0,0,0,0
7q,0,0,1.42,0
8q,29.04,0,1.37,4.49
9q,1.39,0,0,0
10q,0,0,100,0
11q,0,0,25.41,3.36
12q,0,0,100,0
13q,0,0,2.7,2.72
14q,7.24,0,0,0
15q,14,0,5.58,0
16q,0,0,0,0
17q,0,0,0,0
18q,0.79,0,47.83,0
19q,7.01,0,0,0
20q,8.86,0,0,0
21q,0,0,1.52,0
22q,0,0,100,0
Yq,0,0,0,0
Xq,4.06,0,0,0
1p,49.45,0,28.46,0
2p,97,0,0,0
3p,18.01,0,19.74,0
4p,100,0,0,0
5p,99.51,0,0,0
6p,36.21,0,0,0
7p,54.75,0,0,10.71
8p,32.23,0,67.4,0
9p,100,0,0,0
10p,0,0,0,0
11p,0,0,35.21,0
12p,28.73,0,70.9,0
16p,18.42,0,1.16,11.05
17p,0,0,0,99.89
18p,0,0,45.78,0
19p,82.1,0,17.84,0
20p,85,0,0,0
21p,85.12,0,0,0
Yp,0,0,0,0
Xp,0,0,0,11.25
1q,98.21,0,0,2.47
2q,38.74,0,27.18,1.71
3q,32.13,0,3.84,17.36
4q,71.4,0,11.22,0
5q,27.18,0,56.51,0
6q,5.17,0,4.83,36.97
7q,67.67,0,0,0
8q,59.36,0,0,0
9q,58.95,0,40.99,0
10q,13.12,0,67.34,2.87
11q,0,0,30.9,0
12q,100,0,0,0
13q,22.41,0,77.2,0
14q,59.51,0,39.38,0
15q,0,0,24.44,0
16q,0,0,100,0
17q,76.76,0,0,40.51
18q,12.63,0,17.86,31.16
19q,64.83,0,5.03,0
20q,100,0,0,0
21q,100,0,0,0
22q,0,0,100,0
Yq,0,0,0,0
Xq,94.67,0,0,7.03
1p,100,0,0,0
2p,90.36,0,0,6.96
3p,42.01,0,53.43,0
4p,96.4,0,0,0
5p,97.23,0,0,0
6p,86.76,0,0,0
7p,100,0,0,0
8p,0,0,99.66,0
9p,0,0,95.1,0
10p,86.25,0,0,70.22
11p,81.05,0,18.9,8.47
12p,30.83,0,61.89,0
16p,4.09,0,0,0
17p,2.01,0,92.89,0
18p,9.52,0,75.78,0
19p,100,0,0,0
20p,100,0,0,0
21p,0,0,0,0
Yp,0,0,0,0
Xp,99.91,0,0,0
1q,2.5,0,0,0
2q,98.36,0,0,0
3q,63.61,0,0,2.49
4q,88.58,0,2.31,87.13
5q,100,0,0,0
6q,100,0,0,0
7q,100,0,0,0
8q,92.61,0,7.38,0
9q,35.62,0,37.19,0
10q,26.14,0,69.05,0
11q,96.18,0,0,0
12q,38.46,0,61.52,0
13q,0,0,81.89,0
14q,75.52,0,23.36,0
15q,78.19,0,0,0
16q,4.31,0,78.45,0
17q,36.25,0,34.13,5.77
18q,83.54,0,0,4.44
19q,100,0,0,0
20q,100,0,0,0
21q,21.83,0,0,0
22q,1.8,0,61.77,37.86
Yq,0,0,0,0
Xq,94.41,0,0.41,0
1p,0,0,99.93,0
2p,0,0,0,0
3p,0,0,0,0
4p,0,0,0,0
5p,0,0,0,0
6p,0,0,0,0
7p,0,0,0,0
8p,0,0,0,0
9p,0,0,66.84,0
10p,0,0,0,0
11p,0,0,98.42,0
12p,0,0,0,0
16p,0,0,0,0
17p,0,0,0,0
18p,0,0,0,0
19p,0,0,0,0
20p,0,0,0,0
21p,0,0,0,0
Yp,0,0,0,0
Xp,0,0,0,0
1q,98.02,0,0,0
2q,0,0,0,0
3q,0,0,0,0
4q,0,0,55.83,6.16
5q,0,0,0.24,0
6q,0,0,0,2.32
7q,0,0,0,0
8q,0,0,0,0
9q,0,0,79.52,14.24
10q,0,0,0,0
11q,0,0,0,0
12q,0,0,0,0
13q,0,0,0,0
14q,0,0,98.92,0
15q,0,0,99.79,0
16q,0,0,0,0
17q,0,0,0,0
18q,0,0,0,0
19q,0,0,0,0
20q,0,0,0,0
21q,0,0,0,0
22q,0,0,0,0
Yq,0,0,0,0
Xq,0,0,0.33,0
1p,0,0,99.93,0
2p,100,0,0,0
3p,0.35,0,0,100
4p,0,0,0,100
5p,99.94,0,0,0
6p,100,0,0,0
7p,9.74,0,1.1,0
8p,0,0,1.15,99.57
9p,0,0,0,0
10p,100,0,0,0
11p,0,0,0,100
12p,99.7,0,0,84.03
16p,0,0,0,100
17p,0,0,17.75,99.89
18p,0,0,100,99.9
19p,100,0,0,0
20p,100,0,0,0
21p,0,0,0,0
Yp,99.93,0,0,0
Xp,4.27,0,0,0
1q,99.17,0,0,0
2q,100,0,0,0
3q,0,0,0,100
4q,0,0,0,99.92
5q,100,0,0,4.55
6q,0,0,0,100
7q,0,0,0,8.75
8q,0,0,0.54,100
9q,0.57,0,0,3.73
10q,100,0,0,6.11
11q,0,0,0,100
12q,100,0,0,88.38
13q,0,0,0,100
14q,0,0,0,98.92
15q,0,0,99.79,0
16q,0,0,0,100
17q,0,0,0,100
18q,0,0,99.99,0
19q,100,0,0,0
20q,100,0,0,17.29
21q,0,0,0,100
22q,100,0,0,0
Yq,100,0,0,0
Xq,0,0,0,0
1p,0,0,0,0
2p,0,0,0,0
3p,0,0,0,0
4p,0,0,0,0
5p,0,0,0,0
6p,0,0,0,5.31
7p,0,0,0,0
8p,99.66,0,0,0
9p,0,0,0,0
10p,0,0,0,0
11p,0,0,0,0
12p,0,0,0,0
16p,0,0,0,7.79
17p,0,0,0,0
18p,0,0,0,0
19p,0,0,0,0
20p,0,0,0,0
21p,0,0,0,0
Yp,0,0,0,0
Xp,0,0,0,0
1q,0,0,0,0
2q,0,0,0,0
3q,0,0,0,0
4q,0,0,0,0
5q,0,0,0,0
6q,0,0,0,2.42
7q,0,0,0,0
8q,25.37,0,3.14,0
9q,0,0,0,0
10q,0,0,0,0
11q,0,0,0,0
12q,0,0,0,0
13q,0,0,0,0
14q,6.72,0,1.07,0
15q,0,0,0,0
16q,0,0,0,0
17q,0,0,0,0
18q,0,0,0,0
19q,0,0,0,0
20q,0,0,0,0
21q,0,0,0,0
22q,0,0,0,0
Yq,0,0,0,0
Xq,0,0,0,0
1p,2.1,0,40.61,0
2p,4.24,0,8.03,0
3p,0,0,79.92,0
4p,9.63,0,0,0
5p,0,0,13.58,0
6p,0.86,0,93.66,0
7p,10.12,0,33.72,0
8p,3.42,0,0,0
9p,0,0,59.55,0
10p,0,0,98.9,0
11p,0,0,53.78,0
12p,4.51,0,0,0
16p,5.86,0,2.96,0
17p,0,0,12.21,13.34
18p,57.97,0,0,0
19p,0,0,100,0
20p,7.8,0,92.11,0
21p,0,0,0,0
Yp,0,0,0,0
Xp,0,0,0,0
1q,0,0,94.9,0
2q,0,0,35.15,0
3q,0,0,100,0
4q,0.23,0,0,2.94
5q,0,0,60.61,0
6q,0,0,35.04,0
7q,4.42,0,96.05,0
8q,0,0,0,0
9q,8.7,0,0.52,0
10q,0,0,66.76,0
11q,5.16,0,64.12,0
12q,0.59,0,0.47,0
13q,0,0,100,0
14q,0,0,98.92,0
15q,26.42,0,60.91,0
16q,15.39,0,24.5,0
17q,15.23,0,0,0
18q,4.5,0,90.68,0
19q,0,0,100,0
20q,47.92,0,0,10.07
21q,0,0,18.78,10.12
22q,0,0,100,0
Yq,0,0,0,0
Xq,6.22,0,0,7.48
1p,8.35,0,17.42,17.7
2p,1.27,0,0,0
3p,8.27,0,6.1,0
4p,15.88,0,0,0
5p,46.98,0,0,0
6p,71.36,0,0,0
7p,0,0,34.43,0
8p,0,0,99.61,0
9p,0,0,20.05,0
10p,6.08,0,85.28,0
11p,0,0,38.34,0
