CHR,GAIN,AMPLI,LOSS,LOH
10q,6,0,0,0
11q,4,0,0,0
12q,4,0,0,0
13q,14,0,0,0
14q,4,0,1,0
15q,2,0,1,1
16q,6,0,0,0
17q,4,0,0,0
18q,4,0,0,0
19q,5,0,0,0
20q,1,0,0,0
21q,1,0,3,0
22q,1,0,1,0
Yq,0,0,0,0
Xq,1,0,0,3
1p,1,0,0,0
2p,2,0,0,0
3p,3,0,1,0
4p,2,0,0,0
5p,0,0,0,0
6p,1,0,0,0
7p,0,0,0,0
8p,3,0,1,0
9p,0,0,0,0
10p,0,0,0,0
11p,1,0,0,1
12p,5,0,0,0
16p,0,0,1,1
17p,0,0,0,0
18p,1,0,0,0
19p,1,0,0,0
20p,1,0,0,0
21p,1,0,0,0
Yp,0,0,0,0
Xp,1,0,0,1
1q,2,0,0,0
2q,5,0,0,1
3q,0,0,1,0
4q,4,0,0,0
5q,1,0,0,1
6q,1,0,0,0
7q,1,0,0,0
8q,3,0,0,0
9q,0,0,0,0
10q,1,0,0,0
11q,3,0,0,1
12q,5,0,0,0
13q,1,0,0,0
14q,0,0,0,0
15q,1,0,0,0
16q,0,0,3,0
17q,0,0,0,0
18q,1,0,0,0
19q,2,0,1,0
20q,1,0,0,0
21q,1,0,0,0
22q,3,0,0,0
Yq,0,0,0,0
Xq,1,0,0,1
1p,0,0,0,0
2p,0,0,0,1
3p,0,0,0,0
4p,0,0,0,0
5p,0,0,0,0
6p,0,0,1,2
7p,0,0,0,0
8p,1,0,0,0
9p,0,0,0,0
10p,0,0,0,0
11p,0,0,0,1
12p,0,0,0,0
16p,0,0,0,1
17p,0,0,0,0
18p,0,0,0,0
19p,0,0,0,0
20p,0,0,0,0
21p,0,0,0,0
Yp,0,0,0,0
Xp,0,0,0,0
1q,0,0,0,1
2q,0,0,0,1
3q,0,0,0,0
4q,0,0,0,0
5q,0,0,0,0
6q,0,0,0,0
7q,0,0,3,2
8q,0,0,0,0
9q,0,0,0,0
10q,0,0,0,0
11q,0,0,0,0
12q,0,0,0,0
13q,1,0,0,0
14q,1,0,0,0
15q,0,0,0,0
16q,0,0,0,0
17q,0,0,1,0
18q,0,0,0,0
19q,0,0,0,0
20q,0,0,0,0
21q,0,0,0,0
22q,1,0,0,0
Yq,0,0,0,0
Xq,1,0,0,0
1p,3,0,0,0
2p,3,0,2,0
3p,2,0,1,1
4p,0,0,0,0
5p,0,0,0,0
6p,1,0,0,1
7p,1,0,0,0
8p,4,0,0,0
9p,0,0,0,1
10p,0,0,1,0
11p,0,0,0,0
12p,0,0,0,1
16p,0,0,0,1
17p,0,0,0,0
18p,0,0,0,0
19p,0,0,0,0
20p,6,0,1,0
21p,0,0,1,0
Yp,0,0,0,0
Xp,1,0,0,0
1q,3,0,1,0
2q,4,0,2,0
3q,0,0,0,1
4q,3,0,1,0
5q,0,0,4,0
6q,1,0,3,0
7q,4,0,0,0
8q,2,0,0,0
9q,0,0,0,1
10q,2,0,1,1
11q,2,0,0,0
12q,0,0,1,0
13q,6,0,1,0
14q,0,0,2,0
15q,0,0,1,0
16q,0,0,1,0
17q,1,0,0,0
18q,0,0,1,0
19q,2,0,0,0
20q,3,0,0,0
21q,0,0,1,0
22q,1,0,0,1
Yq,0,0,0,0
Xq,1,0,0,0
1p,3,0,0,0
2p,3,0,2,0
3p,2,0,1,1
4p,0,0,0,0
5p,0,0,0,0
6p,1,0,0,1
7p,1,0,0,0
8p,4,0,0,0
9p,0,0,0,1
10p,0,0,1,0
11p,0,0,0,0
12p,0,0,0,1
16p,0,0,0,1
17p,0,0,0,0
18p,0,0,0,0
19p,0,0,0,0
20p,6,0,1,0
21p,0,0,1,0
Yp,0,0,0,0
Xp,1,0,0,0
1q,3,0,1,0
2q,4,0,2,0
3q,0,0,0,1
4q,3,0,1,0
5q,0,0,4,0
6q,1,0,3,0
7q,4,0,0,0
8q,2,0,0,0
9q,0,0,0,1
10q,2,0,1,1
11q,2,0,0,0
12q,0,0,1,0
13q,6,0,1,0
14q,0,0,2,0
15q,0,0,1,0
16q,0,0,1,0
17q,1,0,0,0
18q,0,0,1,0
19q,2,0,0,0
20q,3,0,0,0
21q,0,0,1,0
22q,1,0,0,1
Yq,0,0,0,0
Xq,1,0,0,0
1p,0,0,5,0
2p,1,0,0,0
3p,0,0,5,0
4p,0,0,4,0
5p,4,0,0,0
6p,0,0,1,0
7p,0,0,3,0
8p,0,0,3,0
9p,0,0,1,0
10p,0,0,1,0
11p,0,0,1,1
12p,0,0,1,0
16p,0,0,1,0
17p,0,0,1,0
18p,0,0,0,0
19p,0,0,9,0
20p,0,0,0,0
21p,0,0,0,0
Yp,0,0,0,0
Xp,0,0,0,0
1q,0,0,4,0
2q,0,0,0,0
3q,0,0,4,0
4q,0,0,3,0
5q,4,0,0,0
6q,0,0,1,0
7q,0,0,3,0
8q,0,0,2,0
9q,0,0,1,0
10q,0,0,1,0
11q,0,0,5,0
12q,0,0,3,0
13q,0,0,4,0
14q,0,0,5,0
15q,0,0,6,0
16q,0,0,4,0
17q,2,0,5,0
18q,1,0,2,0
19q,0,0,2,0
20q,1,0,1,0
21q,1,0,0,0
22q,2,0,0,0
Yq,1,0,0,0
Xq,0,0,1,0
1p,0,0,0,0
2p,1,0,0,0
3p,0,0,1,1
4p,0,0,0,0
5p,0,0,0,0
6p,0,0,0,0
7p,0,0,0,0
8p,1,0,0,0
9p,0,0,1,0
10p,0,0,0,0
11p,0,0,0,0
12p,0,0,0,0
16p,0,0,0,1
17p,0,0,0,0
18p,0,0,0,0
19p,0,0,2,0
20p,0,0,0,0
21p,0,0,0,0
Yp,0,0,0,0
Xp,0,0,0,0
1q,0,0,0,0
2q,0,0,1,0
3q,0,0,0,0
4q,0,0,0,0
5q,0,0,1,1
6q,0,0,0,0
7q,0,0,1,0
8q,0,0,0,0
9q,0,0,0,0
10q,0,0,2,0
11q,0,0,0,0
12q,0,0,0,0
13q,0,0,1,0
14q,0,0,2,0
15q,0,0,0,0
16q,0,0,0,0
17q,0,0,0,0
18q,0,0,0,0
19q,1,0,0,0
20q,0,0,0,0
21q,1,0,0,0
22q,0,0,0,0
Yq,0,0,0,0
Xq,0,0,0,0
1p,5,0,2,1
2p,1,0,5,1
3p,2,0,2,1
4p,2,0,0,0
5p,1,0,0,0
6p,0,0,6,0
7p,0,0,4,1
8p,1,0,3,1
9p,0,0,3,0
10p,1,0,2,0
11p,2,0,1,1
12p,3,0,1,0
16p,2,0,2,1
17p,0,0,1,0
18p,1,0,2,0
19p,0,0,0,0
20p,0,0,0,0
21p,0,0,0,0
Yp,0,0,0,0
Xp,4,0,1,1
1q,0,0,1,3
2q,1,0,7,1
3q,0,0,2,0
4q,0,0,1,0
5q,1,0,5,2
6q,1,0,3,0
7q,2,0,6,2
8q,7,0,2,0
9q,1,0,1,1
10q,2,0,6,1
11q,1,0,3,1
12q,7,0,2,0
13q,0,0,8,1
14q,4,0,5,0
15q,1,0,3,2
16q,0,0,0,0
17q,4,0,5,1
18q,0,0,3,0
19q,0,0,2,0
20q,5,0,1,0
21q,1,0,1,0
22q,0,0,0,0
Yq,0,0,0,0
Xq,7,0,4,2
1p,0,0,5,2
2p,4,0,10,3
3p,4,0,5,1
4p,2,0,0,0
5p,2,0,6,0
6p,0,0,7,1
7p,1,0,5,1
8p,6,0,11,0
9p,1,0,5,0
10p,1,0,2,0
11p,1,0,2,2
12p,2,0,3,1
16p,4,0,1,0
17p,0,0,4,0
18p,0,0,2,0
19p,1,0,3,0
20p,0,0,2,0
21p,0,0,0,0
Yp,0,0,0,0
Xp,0,0,0,0
1q,1,0,8,3
2q,0,0,8,2
3q,4,0,6,1
4q,0,0,7,1
5q,2,0,7,2
6q,1,0,7,1
7q,2,0,6,4
8q,7,0,5,2
9q,3,0,2,1
10q,4,0,9,0
11q,0,0,5,1
12q,4,0,6,0
13q,1,0,11,1
14q,4,0,6,1
15q,3,0,8,3
16q,1,0,1,0
17q,2,0,4,0
18q,6,0,8,2
19q,0,0,3,0
20q,1,0,2,0
21q,6,0,6,0
22q,0,0,1,0
Yq,0,0,0,0
Xq,0,0,2,0
1p,2,0,1,3
2p,0,0,3,1
3p,1,0,1,0
4p,1,0,0,0
5p,2,0,1,0
6p,0,0,1,1
7p,0,0,2,0
8p,0,0,0,0
9p,0,0,3,0
10p,0,0,2,0
11p,1,0,2,1
12p,1,0,0,0
16p,2,0,3,1
17p,0,0,0,0
18p,0,0,0,0
19p,0,0,1,0
20p,0,0,0,0
21p,0,0,0,0
Yp,0,0,0,0
Xp,1,0,0,0
1q,0,0,2,0
2q,0,0,4,2
3q,0,0,2,0
4q,0,0,1,0
5q,1,0,1,1
6q,1,0,1,2
7q,0,0,4,0
8q,5,0,1,1
9q,1,0,1,0
10q,0,0,2,2
11q,4,0,4,0
12q,1,0,2,0
13q,1,0,4,0
14q,1,0,4,0
15q,7,0,5,0
16q,0,0,1,0
17q,2,0,6,1
18q,0,0,1,0
19q,0,0,0,0
20q,2,0,1,0
21q,3,0,2,0
22q,1,0,2,0
Yq,0,0,0,0
Xq,1,0,2,2
1p,0,0,1,0
2p,0,0,2,0
3p,0,0,0,0
4p,1,0,0,0
5p,0,0,0,0
6p,0,0,0,1
7p,0,0,0,0
8p,1,0,1,0
9p,0,0,0,0
10p,0,0,0,0
11p,0,0,0,0
12p,1,0,0,0
16p,0,0,0,0
17p,0,0,0,0
18p,0,0,0,0
19p,0,0,1,0
20p,0,0,0,0
21p,0,0,0,0
Yp,0,0,0,0
Xp,0,0,0,0
1q,0,0,0,0
2q,0,0,0,0
3q,0,0,0,0
4q,0,0,0,0
5q,0,0,0,0
6q,0,0,0,0
7q,0,0,0,0
8q,0,0,0,1
9q,1,0,0,0
10q,1,0,1,0
11q,0,0,0,0
12q,1,0,0,0
13q,0,0,0,0
14q,0,0,1,0
15q,0,0,1,0
16q,1,0,0,0
17q,0,0,2,0
18q,0,0,0,0
19q,1,0,0,0
20q,0,0,1,0
21q,0,0,0,0
22q,0,0,1,0
Yq,1,0,0,0
Xq,0,0,0,0
1p,0,0,0,0
2p,1,0,1,0
3p,0,0,0,0
4p,0,0,0,0
5p,0,0,0,0
6p,1,0,4,0
7p,0,0,2,0
8p,0,0,0,0
9p,0,0,1,0
10p,0,0,0,0
11p,0,0,1,0
12p,0,0,0,0
16p,0,0,1,1
17p,0,0,2,0
18p,0,0,0,0
19p,0,0,0,0
20p,0,0,1,0
21p,0,0,0,0
Yp,0,0,0,0
Xp,0,0,1,0
1q,0,0,1,0
2q,0,0,1,1
3q,0,0,0,0
4q,1,0,0,0
5q,0,0,2,1
6q,0,0,0,0
7q,1,0,0,1
8q,0,0,1,0
9q,1,0,0,0
10q,1,0,1,0
11q,1,0,4,0
12q,2,0,2,0
13q,0,0,2,0
14q,1,0,2,0
15q,1,0,4,0
16q,0,0,1,0
17q,1,0,4,0
18q,0,0,1,0
19q,0,0,0,0
20q,1,0,0,0
21q,0,0,0,0
22q,2,0,2,0
Yq,0,0,0,0
Xq,0,0,0,0
1p,2,0,0,0
2p,3,0,1,0
3p,0,0,0,0
4p,2,0,1,0
5p,1,0,0,0
6p,1,0,2,1
7p,1,0,0,0
8p,1,0,0,0
9p,1,0,0,0
10p,0,0,2,0
11p,2,0,0,1
12p,1,0,0,0
16p,3,0,1,1
17p,1,0,2,0
18p,0,0,0,0
19p,1,0,1,0
20p,1,0,0,0
21p,0,0,0,0
Yp,0,0,0,0
Xp,0,0,1,0
1q,1,0,0,0
2q,1,0,0,0
3q,4,0,0,0
4q,0,0,1,0
5q,2,0,0,1
6q,0,0,2,0
7q,1,0,1,1
8q,3,0,1,0
9q,1,0,0,0
10q,4,0,0,0
11q,3,0,1,0
12q,1,0,0,0
13q,5,0,7,0
14q,2,0,2,0
15q,2,0,0,0
16q,0,0,0,0
17q,4,0,4,0
18q,1,0,0,0
19q,0,0,4,0
20q,2,0,0,0
21q,1,0,0,0
22q,6,0,4,0
Yq,0,0,0,0
Xq,0,0,1,0
1p,1,0,1,1
2p,0,0,1,0
3p,4,0,2,1
4p,1,0,0,1
5p,0,0,0,0
6p,0,0,5,0
7p,0,0,2,0
8p,1,0,1,0
9p,0,0,1,1
10p,0,0,1,0
11p,1,0,2,0
12p,0,0,0,0
16p,1,0,0,1
17p,0,0,0,0
18p,1,0,1,0
19p,0,0,3,0
20p,0,0,0,0
21p,0,0,0,0
Yp,0,0,0,0
Xp,0,0,1,0
1q,1,0,1,1
2q,0,0,1,0
3q,0,0,0,0
4q,0,0,0,0
5q,2,0,7,0
6q,0,0,1,0
7q,0,0,0,0
8q,0,0,1,1
9q,1,0,0,0
10q,1,0,5,1
11q,1,0,0,0
12q,1,0,2,0
13q,1,0,1,0
14q,1,0,3,0
15q,3,0,4,0
16q,0,0,1,0
17q,1,0,3,0
18q,6,0,0,0
19q,0,0,0,0
20q,0,0,0,0
21q,2,0,0,0
22q,1,0,3,0
Yq,0,0,0,0
Xq,1,0,0,0
1p,3,0,4,2
2p,1,0,5,2
3p,9,0,4,1
4p,2,0,0,0
5p,0,0,0,0
6p,1,0,7,0
7p,0,0,1,1
8p,3,0,3,0
9p,0,0,3,3
10p,0,0,2,0
11p,0,0,1,1
12p,1,0,1,0
16p,2,0,1,2
17p,0,0,1,0
18p,1,0,5,0
19p,1,0,1,0
20p,1,0,0,0
21p,0,0,0,0
Yp,0,0,0,0
Xp,1,0,1,0
1q,1,0,3,3
2q,2,0,7,0
3q,2,0,1,3
4q,0,0,2,1
5q,3,0,6,3
6q,0,0,1,1
7q,1,0,3,1
8q,3,0,1,3
9q,3,0,0,1
10q,3,0,7,0
11q,1,0,1,0
12q,6,0,5,0
13q,2,0,8,0
14q,0,0,2,1
15q,2,0,5,1
16q,0,0,1,0
17q,4,0,3,0
18q,2,0,4,0
19q,1,0,3,0
20q,1,0,2,0
21q,4,0,3,0
22q,8,0,3,0
Yq,0,0,0,0
Xq,0,0,1,0
1p,2,0,0,0
2p,0,0,1,1
3p,4,0,1,2
4p,0,0,0,0
5p,0,0,0,0
6p,0,0,1,1
7p,0,0,0,0
8p,0,0,0,0
9p,0,0,2,3
10p,1,0,1,0
11p,0,0,0,0
12p,2,0,2,0
16p,0,0,0,1
17p,0,0,0,0
18p,1,0,0,0
19p,1,0,0,0
20p,0,0,0,0
21p,0,0,0,0
Yp,0,0,0,0
Xp,1,0,0,0
1q,0,0,0,0
2q,0,0,0,0
3q,0,0,0,1
4q,0,0,0,0
5q,0,0,0,1
6q,0,0,1,0
7q,1,0,1,0
8q,0,0,0,1
9q,0,0,0,0
10q,1,0,1,0
11q,2,0,1,1
12q,1,0,2,0
13q,3,0,5,0
14q,2,0,2,0
15q,4,0,2,0
16q,0,0,0,0
17q,1,0,0,0
18q,2,0,0,0
19q,0,0,0,0
20q,0,0,0,0
21q,0,0,0,0
22q,1,0,0,0
Yq,0,0,0,0
Xq,0,0,1,0
1p,0,0,1,0
2p,0,0,0,0
3p,0,0,2,0
4p,0,0,1,0
5p,3,0,0,0
6p,2,0,0,0
7p,0,0,0,0
8p,1,0,0,0
9p,0,0,6,0
10p,0,0,1,0
11p,0,0,0,0
12p,0,0,1,0
16p,0,0,1,0
17p,0,0,0,0
18p,0,0,0,0
19p,1,0,1,0
20p,2,0,0,0
21p,0,0,0,0
Yp,0,0,0,0
Xp,0,0,0,0
1q,2,0,1,0
2q,0,0,0,1
3q,0,0,4,0
4q,0,0,1,0
5q,0,0,3,1
6q,0,0,0,0
7q,0,0,1,0
8q,2,0,1,1
9q,1,0,0,0
10q,0,0,1,0
11q,0,0,1,1
12q,0,0,1,0
13q,0,0,5,1
14q,4,0,0,0
15q,3,0,1,0
16q,0,0,1,0
17q,3,0,0,0
18q,1,0,2,0
19q,1,0,0,0
20q,2,0,0,0
21q,0,0,1,0
22q,0,0,1,0
Yq,0,0,0,0
Xq,2,0,0,0
1p,11,0,2,0
2p,6,0,0,0
3p,4,0,2,0
4p,10,0,0,0
5p,4,0,0,0
6p,5,0,0,0
7p,4,0,0,1
8p,2,0,3,0
9p,9,0,0,0
10p,0,0,1,0
11p,0,0,1,0
12p,1,0,1,0
16p,1,0,1,1
17p,0,0,0,1
18p,0,0,1,0
19p,2,0,1,0
20p,3,0,0,0
21p,1,0,0,0
Yp,0,0,0,0
Xp,0,0,0,2
1q,13,0,0,1
2q,4,0,2,1
3q,7,0,3,2
4q,26,0,2,0
5q,4,0,4,0
6q,1,0,2,2
7q,10,0,0,0
8q,14,0,1,0
9q,4,0,1,0
10q,3,0,5,1
11q,0,0,5,0
12q,6,0,0,0
13q,4,0,1,0
14q,4,0,1,0
15q,0,0,1,0
16q,0,0,2,0
17q,7,0,0,3
18q,1,0,1,1
19q,6,0,1,0
20q,6,0,0,0
21q,3,0,0,0
22q,0,0,3,0
Yq,0,0,0,0
Xq,2,0,0,2
1p,5,0,0,0
2p,3,0,0,2
3p,6,0,8,0
4p,3,0,0,0
5p,10,0,0,0
6p,15,0,0,0
7p,4,0,0,0
8p,0,0,1,0
9p,0,0,3,0
10p,4,0,0,1
11p,4,0,1,1
12p,7,0,2,0
16p,2,0,0,0
17p,1,0,1,0
18p,1,0,1,0
19p,7,0,2,0
20p,7,0,0,0
21p,0,0,0,0
Yp,0,0,0,0
Xp,4,0,0,0
1q,2,0,0,0
2q,5,0,0,0
3q,9,0,0,1
4q,7,0,2,3
5q,18,0,0,0
6q,12,0,0,0
7q,20,0,0,0
8q,8,0,1,0
9q,8,0,8,0
10q,10,0,10,0
11q,9,0,0,0
12q,18,0,3,0
13q,0,0,6,0
14q,18,0,1,0
15q,5,0,0,0
16q,1,0,2,0
17q,16,0,2,1
18q,15,0,0,1
19q,19,0,0,0
20q,9,0,0,0
21q,5,0,0,0
22q,1,0,2,1
Yq,0,0,0,0
Xq,8,0,1,0
1p,0,0,1,0
2p,0,0,0,0
3p,0,0,0,0
4p,0,0,0,0
5p,0,0,0,0
6p,0,0,0,0
7p,0,0,0,0
8p,0,0,0,0
9p,0,0,3,0
10p,0,0,0,0
11p,0,0,1,0
12p,0,0,0,0
16p,0,0,0,0
17p,0,0,0,0
18p,0,0,0,0
19p,0,0,0,0
20p,0,0,0,0
21p,0,0,0,0
Yp,0,0,0,0
Xp,0,0,0,0
1q,1,0,0,0
2q,0,0,0,0
3q,0,0,0,0
4q,0,0,3,2
5q,0,0,1,0
6q,0,0,0,1
7q,0,0,1,0
8q,0,0,0,0
9q,0,0,2,2
10q,0,0,0,0
11q,0,0,0,0
12q,0,0,0,0
13q,0,0,0,0
14q,0,0,1,0
15q,0,0,1,0
16q,0,0,0,0
17q,0,0,0,0
18q,0,0,0,0
19q,0,0,0,0
20q,1,0,0,0
21q,0,0,0,0
22q,1,0,1,0
Yq,0,0,0,0
Xq,0,0,1,0
1p,0,0,4,0
2p,3,0,0,0
3p,2,0,0,1
4p,0,0,0,1
5p,1,0,0,0
6p,6,0,0,0
7p,1,0,2,0
8p,0,0,1,2
9p,0,0,0,0
10p,2,0,0,0
11p,0,0,0,1
12p,1,0,0,3
16p,0,0,0,1
17p,0,0,1,1
18p,0,0,1,1
19p,8,0,0,0
20p,6,0,0,0
21p,0,0,0,0
Yp,1,0,0,0
Xp,1,0,0,0
1q,2,0,0,0
2q,5,0,0,0
3q,0,0,1,1
4q,0,0,0,1
5q,9,0,0,1
6q,0,0,0,1
7q,0,0,1,1
8q,0,0,1,1
9q,2,0,0,1
10q,6,0,0,1
11q,0,0,1,1
12q,6,0,0,3
13q,0,0,0,1
14q,0,0,1,1
15q,0,0,7,0
16q,0,0,0,1
17q,0,0,0,1
18q,0,0,1,0
19q,5,0,0,0
20q,7,0,0,1
21q,0,0,0,1
22q,6,0,0,0
Yq,1,0,0,0
Xq,1,0,0,0
1p,0,0,0,0
2p,0,0,0,0
3p,0,0,0,0
4p,0,0,0,0
5p,0,0,0,0
6p,0,0,0,1
7p,0,0,0,0
8p,1,0,0,0
9p,0,0,0,0
10p,0,0,0,0
11p,0,0,0,0
12p,0,0,0,0
16p,0,0,0,1
17p,0,0,0,0
18p,0,0,0,0
19p,0,0,0,0
20p,0,0,0,0
21p,0,0,0,0
Yp,0,0,0,0
Xp,0,0,0,0
1q,0,0,0,0
2q,0,0,0,0
3q,0,0,0,0
4q,0,0,0,0
5q,0,0,0,0
6q,0,0,0,1
7q,0,0,0,0
8q,5,0,3,0
9q,0,0,0,0
10q,0,0,0,0
11q,0,0,0,0
12q,0,0,0,0
13q,0,0,0,0
14q,2,0,2,0
15q,0,0,0,0
16q,0,0,0,0
17q,0,0,0,0
18q,0,0,0,0
19q,0,0,0,0
20q,0,0,0,0
21q,0,0,0,0
22q,1,0,0,0
Yq,0,0,0,0
Xq,0,0,0,0
1p,2,0,2,0
2p,2,0,2,0
3p,1,0,11,0
4p,2,0,0,0
5p,0,0,2,0
6p,2,0,5,0
7p,2,0,1,0
8p,1,0,1,0
9p,0,0,2,0
10p,0,0,3,0
11p,0,0,2,0
12p,2,0,0,0
16p,1,0,1,0
17p,0,0,1,1
18p,1,0,0,0
19p,0,0,1,0
20p,1,0,1,0
21p,0,0,0,0
Yp,0,0,0,0
Xp,0,0,0,0
1q,0,0,9,0
2q,1,0,2,0
3q,0,0,4,0
4q,2,0,0,1
5q,0,0,2,0
6q,0,0,4,0
7q,2,0,4,0
8q,1,0,1,0
9q,1,0,2,0
10q,1,0,3,0
11q,2,0,16,0
12q,1,0,2,0
13q,0,0,1,0
14q,0,0,6,0
15q,3,0,5,0
16q,1,0,1,0
17q,3,0,2,0
18q,1,0,3,0
19q,0,0,10,0
20q,5,0,0,1
21q,0,0,2,1
22q,0,0,1,0
Yq,0,0,0,0
Xq,4,0,0,1
1p,1,0,1,1
2p,2,0,0,0
3p,4,0,3,0
4p,1,0,0,0
5p,1,0,0,0
6p,5,0,0,0
7p,0,0,1,0
8p,0,0,3,0
9p,0,0,1,0
10p,1,0,4,0
11p,0,0,1,0
12p,0,0,1,0
16p,0,0,1,0
17p,0,0,1,0
18p,1,0,0,0
19p,5,0,0,0
20p,0,0,0,0
21p,0,0,0,0
Yp,0,0,0,0
Xp,1,0,0,0
1q,4,0,1,0
2q,1,0,1,1
3q,5,0,6,0
4q,0,0,1,0
5q,3,0,2,0
6q,0,0,1,0
7q,2,0,2,1
8q,3,0,0,1
9q,0,0,2,1
10q,1,0,1,0
11q,3,0,1,0
12q,0,0,1,0
13q,1,0,3,0
14q,0,0,1,0
15q,1,0,1,0
16q,0,0,2,0
17q,1,0,1,1
18q,1,0,2,0
19q,2,0,1,0
20q,5,0,0,0
21q,0,0,0,0
22q,0,0,1,0
Yq,0,0,0,0
Xq,1,0,0,1
1p,3,0,1,0
2p,1,0,1,0
3p,5,0,1,0
4p,0,0,1,0
5p,2,0,0,0
6p,2,0,0,0
7p,0,0,0,0
8p,4,0,1,2
9p,0,0,3,2
10p,0,0,1,0
11p,1,0,0,0
12p,2,0,0,0
16p,2,0,0,1
17p,1,0,1,0
18p,0,0,0,0
19p,3,0,0,3
20p,1,0,1,0
21p,0,0,0,0
Yp,0,0,0,0
Xp,0,0,1,0
1q,0,0,5,0
2q,0,0,4,0
3q,2,0,1,0
4q,2,0,8,3
5q,2,0,5,2
6q,1,0,3,2
7q,0,0,1,1
8q,15,0,3,2
9q,3,0,1,0
10q,0,0,3,0
11q,2,0,0,0
12q,0,0,6,0
13q,2,0,4,2
14q,5,0,1,0
15q,1,0,2,0
16q,1,0,2,0
17q,2,0,0,0
18q,1,0,2,1
19q,1,0,1,0
20q,1,0,0,0
21q,1,0,1,0
22q,2,0,0,0
Yq,0,0,0,0
Xq,1,0,0,0
1p,0,0,4,0
2p,4,0,3,0
3p,2,0,4,0
4p,1,0,2,0
5p,1,0,1,0
6p,0,0,3,0
7p,2,0,0,0
8p,0,0,0,0
9p,1,0,0,0
10p,0,0,1,0
11p,0,0,3,1
12p,1,0,2,0
16p,4,0,3,1
17p,1,0,3,0
18p,1,0,0,0
19p,6,0,2,0
20p,3,0,0,0
21p,1,0,0,0
Yp,0,0,0,0
Xp,3,0,0,2
1q,0,0,0,2
2q,0,0,6,0
3q,0,0,2,0
4q,0,0,1,0
5q,3,0,4,0
6q,0,0,0,0
7q,11,0,0,0
8q,4,0,4,1
9q,3,0,6,0
10q,0,0,7,0
11q,0,0,3,0
12q,4,0,3,0
13q,3,0,5,0
14q,1,0,2,0
15q,0,0,3,0
16q,3,0,0,0
17q,1,0,4,0
18q,2,0,1,0
19q,7,0,0,0
20q,2,0,0,0
21q,8,0,0,0
22q,0,0,4,0
Yq,0,0,0,0
Xq,5,0,1,2
1p,1,0,3,0
2p,0,0,1,1
3p,0,0,0,0
4p,0,0,0,0
5p,0,0,1,0
6p,0,0,0,1
7p,1,0,0,0
8p,2,0,1,0
9p,0,0,3,0
10p,0,0,1,0
11p,0,0,0,1
12p,2,0,1,0
16p,0,0,3,1
17p,1,0,0,0
18p,0,0,0,0
19p,1,0,1,0
20p,0,0,0,0
21p,0,0,0,0
Yp,0,0,0,0
Xp,1,0,0,0
1q,2,0,0,0
2q,0,0,1,1
3q,0,0,0,0
4q,1,0,1,0
5q,1,0,0,1
6q,0,0,0,0
