File	CN State	Type	Chromosome	Cytoband Start	Size (kbp)	Marker Count	Gene Count	Genes	OMIM ® Genes Count	OMIM ® Genes	CytoRegions	Call	Segment Interpretation	Curation By	Materially Modified Segment	Microarray Nomenclature	Full Location
H19001711.OSCHP	6.0	Gain	7	q31.2	86.528	112	1	MET	1	MET (164860)	Cytoregions Not Set				false	arr[hg19] 7q31.2(116,352,126-116,438,654)x6	chr7:116352126-116438654
H19001711.OSCHP	6.0	Gain	7	q31.31	10299.13	857	76	LINC02476, KCND2, TSPAN12, ING3, CPED1, WNT16, FAM3C, PTPRZ1, AASS, FEZF1, FEZF1-AS1, CADPS2, RNF133, RNF148, TAS2R16, SLC13A1, IQUB, NDUFA5, ASB15, LOC102724555, LMOD2, WASL, RNU6-2, HYALP1, HYAL4, SPAM1, LOC105375483, TMEM229A, LOC101928211, GPR37, C7orf77, POT1, POT1-AS1, LOC101928283, LOC101928254, GRM8, MIR592, LOC101928333, ZNF800, LOC100506682, GCC1, ARF5, FSCN3, PAX4, SND1, SND1-IT1, LRRC4, MIR593, MIR129-1, LEP, MGC27345, RBM28, PRRT4, LOC107986845, IMPDH1, HILPDA, METTL2B, LINC01000, FAM71F2, FAM71F1, CALU, OPN1SW, CCDC136, FLNC, ATP6V1F, LOC100130705, KCP, IRF5, TNPO3, TPI1P2, LOC407835, TSPAN33, SMO, AHCYL2, STRIP2, SMKR1	40	KCND2 (605410), TSPAN12 (613138), ING3 (607493), WNT16 (606267), FAM3C (608618), PTPRZ1 (176891), AASS (605113), FEZF1 (613301), CADPS2 (609978), TAS2R16 (604867), SLC13A1 (606193), NDUFA5 (601677), LMOD2 (608006), WASL (605056), HYAL4 (604510), SPAM1 (600930), GPR37 (602583), POT1 (606478), GRM8 (601116), GCC1 (607418), ARF5 (103188), FSCN3 (615800), PAX4 (167413), SND1 (602181), LRRC4 (610486), LEP (164160), RBM28 (612074), IMPDH1 (146690), METTL2B (607846), CALU (603420), OPN1SW (613522), CCDC136 (611902), FLNC (102565), ATP6V1F (607160), KCP (609344), IRF5 (607218), TNPO3 (610032), TSPAN33 (610120), SMO (601500), AHCYL2 (616520)	Cytoregions Not Set				false	arr[hg19] 7q31.31q32.1(118,872,410-129,171,540)x6	chr7:118872410-129171540
H19001711.OSCHP	6.0	Gain	7	q32.2	7607.707	533	57	TMEM209, SSMEM1, CPA2, CPA4, CPA5, LOC105375504, CPA1, CEP41, MEST, MESTIT1, MIR335, COPG2, TSGA13, KLF14, MIR29A, MIR29B1, LINC-PINT, LINC00513, MKLN1, MKLN1-AS, PODXL, LOC101928782, PLXNA4, LOC101928807, FLJ40288, LOC100506937, CHCHD3, MIR3654, LOC105375512, EXOC4, MIR6133, LOC101928861, LRGUK, SLC35B4, AKR1B1, AKR1B10, AKR1B15, BPGM, CALD1, AGBL3, C7orf49, TMEM140, WDR91, MIR6509, STRA8, CNOT4, NUP205, C7orf73, SLC13A4, FAM180A, LUZP6, MTPN, CHRM2, LOC349160, MIR490, PTN, DGKI	37	CPA2 (600688), CPA4 (607635), CPA5 (609561), CPA1 (114850), CEP41 (610523), MEST (601029), MESTIT1 (607794), MIR335 (611768), COPG2 (604355), KLF14 (609393), MIR29A (610782), MIR29B1 (610783), MKLN1 (605623), PODXL (602632), PLXNA4 (604280), CHCHD3 (613748), EXOC4 (608185), LRGUK (616478), SLC35B4 (610923), AKR1B1 (103880), AKR1B10 (604707), AKR1B15 (616336), BPGM (613896), CALD1 (114213), AGBL3 (617346), C7orf49 (616980), WDR91 (616303), STRA8 (609987), CNOT4 (604911), NUP205 (614352), SLC13A4 (604309), LUZP6 (611050), MTPN (606484), CHRM2 (118493), MIR490 (616972), PTN (162095), DGKI (604072)	Cytoregions Not Set				false	arr[hg19] 7q32.2q33(129,822,796-137,430,503)x6	chr7:129822796-137430503
H19001711.OSCHP	6.0	Gain	7	q34	2583.254	300	26	ZC3HAV1, TTC26, UBN2, LUC7L2, FMC1, C7orf55-LUC7L2, LOC100129148, KLRG2, CLEC2L, HIPK2, TBXAS1, PARP12, KDM7A, JHDM1D-AS1, SLC37A3, RAB19, MKRN1, DENND2A, ADCK2, NDUFB2-AS1, NDUFB2, BRAF, MRPS33, TMEM178B, AGK, KIAA1147	12	ZC3HAV1 (607312), TTC26 (617453), UBN2 (613841), LUC7L2 (613056), HIPK2 (606868), TBXAS1 (274180), PARP12 (612481), MKRN1 (607754), NDUFB2 (603838), BRAF (164757), MRPS33 (611993), AGK (610345)	Cytoregions Not Set				false	arr[hg19] 7q34(138,777,331-141,360,585)x6	chr7:138777331-141360585
H19001711.OSCHP	6.0	Gain	9	p23	145.169	30	1	NFIB	1	NFIB (600728)	Cytoregions Not Set				false	arr[hg19] 9p23p22.3(14,119,582-14,264,751)x6	chr9:14119582-14264751
H19001711.OSCHP	6.0	Gain	9	p22.1	2319.97	210	28	HAUS6, PLIN2, DENND4C, RPS6, ACER2, SLC24A2, MLLT3, MIR4473, MIR4474, FOCAD, FOCAD-AS1, MIR491, SNORA30B, HACD4, IFNB1, IFNW1, IFNA21, IFNA4, IFNA7, IFNA10, IFNA16, IFNA17, IFNA14, IFNA22P, IFNA5, KLHL9, IFNA6, IFNA13	21	HAUS6 (613433), PLIN2 (103195), RPS6 (180460), ACER2 (613492), SLC24A2 (609838), MLLT3 (159558), FOCAD (614606), HACD4 (615941), IFNB1 (147640), IFNW1 (147553), IFNA21 (147584), IFNA4 (147564), IFNA7 (147567), IFNA10 (147577), IFNA16 (147580), IFNA17 (147583), IFNA14 (147579), IFNA5 (147565), KLHL9 (611201), IFNA6 (147566), IFNA13 (147578)	Cytoregions Not Set				false	arr[hg19] 9p22.1p21.3(19,063,928-21,383,898)x6	chr9:19063928-21383898
H19001711.OSCHP	6.0	Gain	9	p13.3	2624.228	200	53	RUSC2, FAM166B, TESK1, MIR4667, CD72, LOC101926948, SIT1, RMRP, CCDC107, ARHGEF39, CA9, TPM2, TLN1, MIR6852, CREB3, MIR6853, GBA2, RGP1, MSMP, NPR2, SPAG8, HINT2, FAM221B, TMEM8B, LINC00950, OR13J1, HRCT1, SPAAR, OR2S2, RECK, GLIPR2, CCIN, CLTA, GNE, RNF38, MELK, MIR4475, PAX5, MIR4540, MIR4476, EBLN3P, ZCCHC7, GRHPR, ZBTB5, POLR1E, FBXO10, TOMM5, FRMPD1, TRMT10B, EXOSC3, DCAF10, SLC25A51, SHB	31	RUSC2 (611053), TESK1 (601782), CD72 (107272), SIT1 (604964), RMRP (157660), CA9 (603179), TPM2 (190990), TLN1 (186745), CREB3 (606443), GBA2 (609471), RGP1 (615742), MSMP (612191), NPR2 (108961), SPAG8 (605731), HINT2 (609997), TMEM8B (616888), RECK (605227), GLIPR2 (607141), CCIN (603960), CLTA (118960), GNE (603824), RNF38 (612488), MELK (607025), PAX5 (167414), GRHPR (604296), ZBTB5 (616590), FBXO10 (609092), TOMM5 (616169), FRMPD1 (616919), EXOSC3 (606489), SHB (600314)	Cytoregions Not Set				false	arr[hg19] 9p13.3p13.2(35,514,652-38,138,880)x6	chr9:35514652-38138880
H19001711.OSCHP	5.0	Gain	3	p21.2	79.211	19	1	DOCK3	1	DOCK3 (603123)	Cytoregions Not Set				false	arr[hg19] 3p21.2(50,770,157-50,849,368)x5	chr3:50770157-50849368
H19001711.OSCHP	5.0	Gain	3	p14.1	423.963	30	8	FAM19A4, EOGT, TMF1, MIR3136, UBA3, ARL6IP5, LMOD3, FRMD4B	7	FAM19A4 (617498), EOGT (614789), TMF1 (601126), UBA3 (603172), ARL6IP5 (605709), LMOD3 (616112), FRMD4B (617467)	Cytoregions Not Set				false	arr[hg19] 3p14.1(68,899,222-69,323,185)x5	chr3:68899222-69323185
H19001711.OSCHP	5.0	Gain	7	p15.3	618.112	44	3	SP4, MIR1183, DNAH11	2	SP4 (600540), DNAH11 (603339)	Cytoregions Not Set				false	arr[hg19] 7p15.3(21,111,642-21,729,754)x5	chr7:21111642-21729754
H19001711.OSCHP	5.0	Gain	7	p14.2	349.972	20	4	DPY19L1, DPY19L2P1, TBX20, LOC401324	2	DPY19L1 (613892), TBX20 (606061)	Cytoregions Not Set				false	arr[hg19] 7p14.2(35,044,079-35,394,051)x5	chr7:35044079-35394051
H19001711.OSCHP	5.0	Gain	7	p11.2	107.948	149	1	EGFR	1	EGFR (131550)	Cytoregions Not Set				false	arr[hg19] 7p11.2(55,081,598-55,189,546)x5	chr7:55081598-55189546
H19001711.OSCHP	5.0	Gain	7	q31.31	1368.483	83	3	CTTNBP2, LSM8, ANKRD7	3	CTTNBP2 (609772), LSM8 (607288), ANKRD7 (610731)	Cytoregions Not Set				false	arr[hg19] 7q31.31(117,496,143-118,864,626)x5	chr7:117496143-118864626
H19001711.OSCHP	5.0	Gain	7	q33	1286.92	151	12	DGKI, CREB3L2, LOC100130880, AKR1D1, MIR4468, TRIM24, SVOPL, ATP6V0A4, TMEM213, KIAA1549, ZC3HAV1L, ZC3HAV1	8	DGKI (604072), CREB3L2 (608834), AKR1D1 (604741), TRIM24 (603406), SVOPL (611700), ATP6V0A4 (605239), KIAA1549 (613344), ZC3HAV1 (607312)	Cytoregions Not Set				false	arr[hg19] 7q33q34(137,448,814-138,735,734)x5	chr7:137448814-138735734
H19001711.OSCHP	5.0	Gain	9	q31.1	267.984	19	1	LINC01492	0		Cytoregions Not Set				false	arr[hg19] 9q31.1(105,983,676-106,251,660)x5	chr9:105983676-106251660
H19001711.OSCHP	5.0	Gain	9	q33.3	221.803	88	1	MAPKAP1	1	MAPKAP1 (610558)	Cytoregions Not Set				false	arr[hg19] 9q33.3(128,274,534-128,496,337)x5	chr9:128274534-128496337
H19001711.OSCHP	5.0	Gain	16	q21	261.363	18	7	KATNB1, KIFC3, MIR6772, LOC388282, CNGB1, TEPP, ZNF319	4	KATNB1 (602703), KIFC3 (604535), CNGB1 (600724), TEPP (610264)	Cytoregions Not Set				false	arr[hg19] 16q21(57,768,690-58,030,053)x5	chr16:57768690-58030053
H19001711.OSCHP	4.0	Gain	1	p36.31	272.667	22	2	CAMTA1, LOC102725193	1	CAMTA1 (611501)	Cytoregions Not Set				false	arr[hg19] 1p36.31p36.23(7,177,812-7,450,479)x4	chr1:7177812-7450479
H19001711.OSCHP	4.0	Gain	3	p25.3	971.778	65	6	SLC6A1, SLC6A1-AS1, HRH1, ATG7, VGLL4, TAMM41	4	SLC6A1 (137165), HRH1 (600167), ATG7 (608760), TAMM41 (614948)	Cytoregions Not Set				false	arr[hg19] 3p25.3p25.2(10,994,613-11,966,391)x4	chr3:10994613-11966391
H19001711.OSCHP	4.0	Gain	3	p25.2	21828.442	1606	123	NUP210, HDAC11-AS1, HDAC11, FBLN2, SNORA93, LINC00620, WNT7A, FGD5P1, TPRXL, CHCHD4, TMEM43, XPC, LSM3, LINC01267, SLC6A6, GRIP2, CCDC174, C3orf20, LINC02011, FGD5, FGD5-AS1, NR2C2, MRPS25, RBSN, COL6A4P1, CAPN7, SH3BP5-AS1, SH3BP5, METTL6, EAF1, COLQ, MIR4270, HACL1, BTD, ANKRD28, MIR3134, MIR563, GALNT15, DPH3, OXNAD1, RFTN1, LINC00690, DAZL, PLCL2, MIR3714, TBC1D5, LOC105376975, LOC339862, SATB1, SATB1-AS1, KCNH8, MIR4791, EFHB, RAB5A, PP2D1, KAT2B, MIR3135A, SGO1, SGO1-AS1, LOC101927829, VENTXP7, ZNF385D, ZNF385D-AS1, ZNF385D-AS2, UBE2E2-AS1, UBE2E2, MIR548AC, UBE2E1-AS1, UBE2E1, NKIRAS1, RPL15, NR1D2, LINC00691, THRB, LOC101927854, THRB-AS1, MIR4792, RARB, LOC105376997, TOP2B, MIR4442, NGLY1, OXSM, LINC00692, LRRC3B, NEK10, SLC4A7, EOMES, LINC01980, LINC01981, CMC1, AZI2, ZCWPW2, LINC00693, RBMS3-AS3, RBMS3, RBMS3-AS1, LINC01985, TGFBR2, GADL1, MIR466, STT3B, OSBPL10, OSBPL10-AS1, ZNF860, GPD1L, CMTM8, CMTM7, CMTM6, MIR548AY, DYNC1LI1, CNOT10, TRIM71, CCR4, GLB1, TMPPE, CRTAP, SUSD5, FBXL2, UBP1, CLASP2, PDCD6IP, LOC101928135	64	NUP210 (607703), HDAC11 (607226), FBLN2 (135821), WNT7A (601570), TPRXL (611167), CHCHD4 (611077), TMEM43 (612048), XPC (613208), LSM3 (607283), SLC6A6 (186854), CCDC174 (616735), FGD5 (614788), NR2C2 (601426), MRPS25 (611987), RBSN (609511), COL6A4P1 (612397), CAPN7 (606400), SH3BP5 (605612), EAF1 (608315), COLQ (603033), HACL1 (604300), BTD (609019), ANKRD28 (611122), GALNT15 (615131), DPH3 (608959), DAZL (601486), PLCL2 (614276), TBC1D5 (615740), SATB1 (602075), KCNH8 (608260), RAB5A (179512), KAT2B (602303), SGO1 (609168), UBE2E2 (602163), UBE2E1 (602916), NKIRAS1 (604496), RPL15 (604174), NR1D2 (602304), THRB (190160), RARB (180220), TOP2B (126431), NGLY1 (610661), OXSM (610324), SLC4A7 (603353), EOMES (604615), CMC1 (615166), AZI2 (609916), RBMS3 (605786), TGFBR2 (190182), GADL1 (615601), STT3B (608605), OSBPL10 (606738), GPD1L (611778), CMTM8 (607891), CMTM7 (607890), CMTM6 (607889), DYNC1LI1 (615890), CCR4 (604836), GLB1 (611458), CRTAP (605497), FBXL2 (605652), UBP1 (609784), CLASP2 (605853), PDCD6IP (608074)	Cytoregions Not Set				false	arr[hg19] 3p25.2p22.3(13,288,578-35,117,020)x4	chr3:13288578-35117020
H19001711.OSCHP	4.0	Gain	3	p22.1	2537.532	205	17	MYRIP, EIF1B-AS1, EIF1B, ENTPD3, ENTPD3-AS1, RPL14, ZNF619, ZNF620, ZNF621, CTNNB1, ULK4, TRAK1, CCK, LYZL4, VIPR1, VIPR1-AS1, SEC22C	10	MYRIP (611790), ENTPD3 (603161), RPL14 (617414), CTNNB1 (116806), ULK4 (617010), TRAK1 (608112), CCK (118440), LYZL4 (612750), VIPR1 (192321), SEC22C (604028)	Cytoregions Not Set				false	arr[hg19] 3p22.1(40,072,983-42,610,515)x4	chr3:40072983-42610515
H19001711.OSCHP	4.0	Gain	3	p22.1	3505.122	235	50	ACKR2, CYP8B1, ZNF662, KRBOX1-AS1, KRBOX1, FAM198A, POMGNT2, SNRK, SNRK-AS1, ANO10, ABHD5, MIR138-1, TOPAZ1, TCAIM, LINC00694, LINC01988, ZNF445, ZNF852, ZKSCAN7, ZNF660, ZNF660-ZNF197, ZNF197-AS1, ZNF197, ZNF35, ZNF502, ZNF501, KIAA1143, KIF15, MIR564, TMEM42, TGM4, ZDHHC3, EXOSC7, CLEC3B, CDCP1, TMEM158, LARS2, LARS2-AS1, LIMD1, LIMD1-AS1, SACM1L, SLC6A20, LZTFL1, CCR9, FYCO1, CXCR6, XCR1, CCR1, CCR3, CCR2	27	ACKR2 (602648), CYP8B1 (602172), POMGNT2 (614828), SNRK (612760), ANO10 (613726), ABHD5 (604780), MIR138-1 (613394), TOPAZ1 (614412), ZNF35 (194533), KIF15 (617569), TGM4 (600585), ZDHHC3 (617150), EXOSC7 (606488), CLEC3B (187520), CDCP1 (611735), LARS2 (604544), LIMD1 (604543), SACM1L (606569), SLC6A20 (605616), LZTFL1 (606568), CCR9 (604738), FYCO1 (607182), CXCR6 (605163), XCR1 (600552), CCR1 (601159), CCR3 (601268), CCR2 (601267)	Cytoregions Not Set				false	arr[hg19] 3p22.1p21.31(42,894,676-46,399,798)x4	chr3:42894676-46399798
H19001711.OSCHP	4.0	Gain	3	p21.1	3939.275	279	38	PBRM1, GNL3, SNORD136, SNORD19, SNORD19B, SNORD19C, SNORD69, GLT8D1, SPCS1, NEK4, ITIH1, ITIH3, ITIH4, ITIH4-AS1, MUSTN1, TMEM110-MUSTN1, TMEM110, MIR8064, SFMBT1, RFT1, PRKCD, TKT, DCP1A, SNORD38C, CACNA1D, CHDH, IL17RB, ACTR8, SELENOK, CACNA2D3, ESRG, CACNA2D3-AS1, LRTM1, LINC02017, WNT5A, ERC2, ERC2-IT1, MIR3938	21	PBRM1 (606083), GNL3 (608011), SPCS1 (610358), NEK4 (601959), ITIH1 (147270), ITIH3 (146650), ITIH4 (600564), MUSTN1 (617195), TMEM110 (617189), SFMBT1 (607319), RFT1 (611908), PRKCD (176977), TKT (606781), DCP1A (607010), CACNA1D (114206), IL17RB (605458), SELENOK (607916), CACNA2D3 (606399), ESRG (611473), WNT5A (164975), ERC2 (617250)	Cytoregions Not Set				false	arr[hg19] 3p21.1p14.3(52,631,632-56,570,907)x4	chr3:52631632-56570907
H19001711.OSCHP	4.0	Gain	3	p14.3	2423.679	160	30	ARHGEF3, ARHGEF3-AS1, SPATA12, IL17RD, HESX1, APPL1, ASB14, LOC105377102, DNAH12, PDE12, ARF4, ARF4-AS1, DENND6A, LOC101929159, SLMAP, FLNB, FLNB-AS1, DNASE1L3, ABHD6, HTD2, RPP14, PXK, PDHB, KCTD6, ACOX2, FAM107A, FAM3D-AS1, FAM3D, C3orf67, C3orf67-AS1	18	ARHGEF3 (612115), SPATA12 (609869), IL17RD (606807), HESX1 (601802), APPL1 (604299), DNAH12 (603340), PDE12 (616519), ARF4 (601177), SLMAP (602701), FLNB (603381), DNASE1L3 (602244), ABHD6 (616966), RPP14 (606112), PXK (611450), PDHB (179060), ACOX2 (601641), FAM107A (608295), FAM3D (608619)	Cytoregions Not Set				false	arr[hg19] 3p14.3p14.2(56,849,748-59,273,427)x4	chr3:56849748-59273427
H19001711.OSCHP	4.0	Gain	3	p14.2	230.758	19	0		0		Cytoregions Not Set				false	arr[hg19] 3p14.2(59,500,393-59,731,151)x4	chr3:59500393-59731151
H19001711.OSCHP	4.0	Gain	3	p14.1	3610.441	229	13	MAGI1, MAGI1-IT1, MAGI1-AS1, SLC25A26, LRIG1, LOC105377143, KBTBD8, MIR4272, SUCLG2, SUCLG2-AS1, FAM19A1, LOC105377146, FAM19A4	7	MAGI1 (602625), SLC25A26 (611037), LRIG1 (608868), KBTBD8 (616607), SUCLG2 (603922), FAM19A1 (617495), FAM19A4 (617498)	Cytoregions Not Set				false	arr[hg19] 3p14.1(65,274,416-68,884,857)x4	chr3:65274416-68884857
